11/12/2020,Valladolid,Osasuna,noresult,nochanle
11/12/2020,Valencia,Athletic Club,noresult,nochanle
11/12/2020,Getafe,Sevilla,noresult,nochanle
19/12/2020,Barcelona,Valencia,noresult,nochanle
20/12/2020,Levante,Real Sociedad,noresult,nochanle
20/12/2020,Osasuna,Villarreal,noresult,nochanle
20/12/2020,Sevilla,Valladolid,noresult,nochanle
20/12/2020,Celta Vigo,Alaves,noresult,nochanle
20/12/2020,Granada,Real Betis,noresult,nochanle
21/12/2020,Cadiz,Getafe,noresult,nochanle
21/12/2020,Eibar,Real Madrid,noresult,nochanle
5/12/2020,Athletic Club,Celta Vigo,0-2,k+
5/12/2020,Levante,Getafe,3-0,k+
5/12/2020,Sevilla,Real Madrid,0-1,k+
6/12/2020,Atletico Madrid,Valladolid,2-0,k+
6/12/2020,Cadiz,Barcelona,2-1,vtv2
6/12/2020,Granada,Huesca,3-3,nochanle
6/12/2020,Osasuna,Real Betis,0-2,nochanle
7/12/2020,Villarreal,Elche,0-0,nochanle
7/12/2020,Alaves,Real Sociedad,0-0,nochanle
8/12/2020,Eibar,Valencia,0-0,nochanle
13/12/2020,Real Madrid,Atletico Madrid,noresult,nochanle
13/12/2020,Real Sociedad,Eibar,noresult,nochanle
13/12/2020,Real Betis,Villarreal,noresult,nochanle
14/12/2020,Barcelona,Levante,noresult,nochanle
15/12/2020,Celta Vigo,Cadiz,noresult,nochanle
16/12/2020,Real Madrid,Athletic Club,noresult,nochanle
17/12/2020,Barcelona,Real Sociedad,noresult,nochanle
19/12/2020,Athletic Club,Huesca,noresult,nochanle
19/12/2020,Atletico Madrid,Elche,noresult,nochanle
