5/12/2020,Burnley,Everton,0-0,k+
4/12/2020,Man City,Fulham,2-0,vtv3
5/12/2020,West Ham,Man United,1-2,vtv2
6/12/2020,Chelsea,Leeds United,3-1,k+
6/12/2020,West Brom,Crystal Palace,1-5,k+
6/12/2020,Sheffield United,Leicester City,1-2,k+
6/12/2020,Tottenham,Arsenal,2-0,vtv
7/12/2020,Liverpool,Wolves,4-0,vtv
8/12/2020,Brighton,Southampton,1-2,k+
12/12/2020,Leeds United,West Ham,tbt,k+
12/12/2020,Wolves,Aston Villa,noresult,k+
12/12/2020,Newcastle,West Brom,noresult,k+
13/12/2020,Man United,Man City,noresult,k+
13/12/2020,Everton,Chelsea,noresult,k+
13/12/2020,Southampton,Sheffield United,noresult,k+
13/12/2020,Crystal Palace,Tottenham,no,k+
13/12/2020,Fulham,Liverpool,noresult,k+
14/12/2020,Leicester City,Brighton,no,k+
14/12/2020,Arsenal,Burnley,no,k+
21/11/2020,Newcastle,Chelsea,0-2,nochanel
21/11/2020,Aston Villa,Brighton,1-2,k+
22/11/2020,Tottenham,Man City,2-0,k+
22/11/2020,Man United,West Brom,1-0,k+
22/11/2020,Fulham,Everton,2-3,k+
22/11/2020,Sheffield United,West Ham,0-1,k+
22/11/2020,Leeds United,Arsenal,0-0,k+
23/11/2020,Liverpool,Leicester City,3-0,k+
24/11/2020,Burnley,Crystal Palace,1-0,k+
24/11/2020,Wolves,Southampton,1-1,k+
28/11/2020,Crystal Palace,Newcastle,0-2,k+
28/11/2020,Brighton,Liverpool,1-1,k+
28/11/2020,Man City,Burnley,5-0,k+
29/11/2020,Everton,Leeds United,0-1,k+
29/11/2020,West Brom,Sheffield United,1-0,k+
29/11/2020,Southampton,Man United,2-3,k+
29/11/2020,Chelsea,Tottenham,0-0,k+
30/11/2020,Arsenal,Wolves,1-2,k+
12/12/2020,Leicester City,Fulham,1-2,k+
12/12/2020,West Ham,Aston Villa,2-1,k+
